Doc ID,Reception ID,CPV CODE,Notice Status,Country ISO,TOWN ISO,Project Name,Title,Notice publication number,Publication date,OJ S issue number,Town/city of the buyer,Official name of the buyer,Original language,Country of the buyer,Type of buyer,EU institution/agency,Document sent,Type of contract,Type of procedure,Notice type,Regulation,Type of bid,Award criteria,Common procurement vocabulary (CPV),Place of performance (NUTS),Internet address (URL),Legal basis,Deadline Date,latitude,longitude,Document_id_1,Publication_Date_1,Deadline_1,Document_1,Authority_Name_1,Document_id_2,Publication_Date_2,Deadline_2,Document_2,Authority_Name_2,Document_id_3,Publication_Date_3,Deadline_3,Document_3,Authority_Name_3,Document_id_4,Publication_Date_4,Deadline_4,Document_4,Authority_Name_4,Document_id_5,Publication_Date_5,Deadline_5,Document_5,Authority_Name_5,Document_id_6,Publication_Date_6,Deadline_6,Document_6,Authority_Name_6,Document_id_7,Publication_Date_7,Deadline_7,Document_7,Authority_Name_7,Document_id_8,Publication_Date_8,Deadline_8,Document_8,Authority_Name_8,Document_id_9,Publication_Date_9,Deadline_9,Document_9,Authority_Name_9,Document_id_10,Publication_Date_10,Deadline_10,Document_10,Authority_Name_10,Document_id_11,Publication_Date_11,Deadline_11,Document_11,Authority_Name_11,Document_id_12,Publication_Date_12,Deadline_12,Document_12,Authority_Name_12,Document_id_13,Publication_Date_13,Deadline_13,Document_13,Authority_Name_13,Document_id_14,Publication_Date_14,Deadline_14,Document_14,Authority_Name_14,Document_id_15,Publication_Date_15,Deadline_15,Document_15,Authority_Name_15,Document_id_16,Publication_Date_16,Deadline_16,Document_16,Authority_Name_16
495497-2021,21-512702-001,42991200,Active,Slovakia,Partizánske,Printing machinery,Slovakia-Partizánske: Printing machinery,495497-2021,01/10/2021,191,PARTIZÁNSKE,"REKUK, spol. s r.o. (36284319)",SK,SK,8 - Other,-,28/09/2021,2 - Supplies,1 - Open procedure,7 - Contract award notice,4 - European Union,9 - Not applicable,1 - Lowest price,42991200 - Printing machinery,SK022,http://www.rekuk.sk/,Public procurement Directive 2014/24/EU,,48.6264092,18.3730067,359729-2021,16/07/2021,08/09/2021,3 - Contract notice,"Rekuk, spol. s r.o. (36284319)",423651-2021,20/08/2021,08/09/2021,2 - Additional information,"REKUK, spol. s r.o. (36284319)",495497-2021,01/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495496-2021,21-514219-001,03115000,Active,Slovakia,Veľké Ludince,Raw vegetable materials,Slovakia-Veľké Ludince: Raw vegetable materials,495496-2021,01/10/2021,191,VEĽKÉ LUDINCE,Herb-Pharma Corporation s.r.o. (36565016),SK,SK,8 - Other,-,28/09/2021,2 - Supplies,1 - Open procedure,7 - Contract award notice,4 - European Union,9 - Not applicable,1 - Lowest price,03115000 - Raw vegetable materials24300000 - Basic inorganic and organic chemicals,SK023,https://www.uvo.gov.sk/vyhladavanie-profilov/zakazky/10861,Public procurement Directive 2014/24/EU,,47.9630579,18.5065438,422678-2021,20/08/2021,22/09/2021,3 - Contract notice,Herb-Pharma Corporation s.r.o. (36565016),495496-2021,01/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495495-2021,21-512115-001,03140000,Active,Slovakia,Lužianky,Animal products and related products,Slovakia-Lužianky: Animal products and related products,495495-2021,01/10/2021,191,LUŽIANKY,Národné poľnohospodárske a potravinárske centrum (42337402),SK,SK,6 - Body governed by public law,-,27/09/2021,2 - Supplies,1 - Open procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,1 - Lowest price,03140000 - Animal products and related products60000000 - Transport services (excl. Waste transport),SK023,http://www.nppc.sk,Public procurement Directive 2014/24/EU,,48.33747185,18.028589895765034,393458-2021,03/08/2021,06/09/2021,3 - Contract notice,Národné poľnohospodárske a potravinárske centrum (42337402),495495-2021,01/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495494-2021,21-514042-001,38000000,Active,Slovakia,Košice,"Laboratory, optical and precision equipments (excl. glasses)","Slovakia-Košice: Laboratory, optical and precision equipments (excl. glasses)",495494-2021,01/10/2021,191,KOŠICE,"Univerzita Pavla Jozefa Šafárika v Košiciach, Rektorát (00397768)",SK,SK,6 - Body governed by public law,-,28/09/2021,2 - Supplies,2 - Restricted procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,1 - Lowest price,"38000000 - Laboratory, optical and precision equipments (excl. glasses)",SK042,http://www.upjs.sk,Public procurement Directive 2014/24/EU,,48.7172272,21.2496774,596574-2019,17/12/2019,13/01/2020,Y - Dynamic purchasing system,"Univerzita Pavla Jozefa Šafárika v Košiciach, Rektorát (00397768)",150582-2020,30/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495430-2021,21-512124-001,34114200,Active,Slovakia,Bratislava,Police cars,Slovakia-Bratislava: Police cars,495430-2021,01/10/2021,191,BRATISLAVA,Ministerstvo vnútra Slovenskej republiky (00151866),SK,SK,1 - Ministry or any other national or federal authority,-,27/09/2021,2 - Supplies,2 - Restricted procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,1 - Lowest price,32342410 - Sound equipment34928430 - Beacons34114200 - Police cars,SK01,https://www.minv.sk/,Public procurement Directive 2014/24/EU,,48.1516988,17.1093063,516267-2020,30/10/2020,30/11/2020,Y - Dynamic purchasing system,Ministerstvo vnútra Slovenskej republiky (00151866),457231-2021,10/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495428-2021,21-512111-001,39162200,Active,Slovakia,Svidník,Training aids and devices,Slovakia-Svidník: Training aids and devices,495428-2021,01/10/2021,191,SVIDNÍK,Mesto Svidník (00331023),SK,SK,3 - Regional or local authority,-,27/09/2021,2 - Supplies,1 - Open procedure,7 - Contract award notice,4 - European Union,9 - Not applicable,1 - Lowest price,39160000 - School furniture39162200 - Training aids and devices30236000 - Miscellaneous computer equipment22111000 - School books,SK041,https://josephine.proebiz.com/sk/tender/7538/summary,Public procurement Directive 2014/24/EU,,49.3085082,21.5733508,273515-2020,12/06/2020,17/08/2020,3 - Contract notice,Mesto Svidník (00331023),286430-2020,19/06/2020,17/07/2020,2 - Additional information,Mesto Svidník (00331023),339422-2020,20/07/2020,17/08/2020,2 - Additional information,Mesto Svidník (00331023),495428-2021,01/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495427-2021,21-512121-001,34114200,Active,Slovakia,Bratislava,Police cars,Slovakia-Bratislava: Police cars,495427-2021,01/10/2021,191,BRATISLAVA,Ministerstvo vnútra Slovenskej republiky (00151866),SK,SK,1 - Ministry or any other national or federal authority,-,27/09/2021,2 - Supplies,2 - Restricted procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,2 - The most economic tender,32342410 - Sound equipment34928430 - Beacons34114200 - Police cars,SK01,https://www.minv.sk/,Public procurement Directive 2014/24/EU,,48.1516988,17.1093063,516267-2020,30/10/2020,30/11/2020,Y - Dynamic purchasing system,Ministerstvo vnútra Slovenskej republiky (00151866),457231-2021,10/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495383-2021,21-512024-001,09310000,Active,Slovakia,Bratislava,Electricity,Slovakia-Bratislava: Electricity,495383-2021,01/10/2021,191,BRATISLAVA,Mestská časť Bratislava - Devínska Nová Ves (00603392),SK,SK,3 - Regional or local authority,-,27/09/2021,2 - Supplies,1 - Open procedure,7 - Contract award notice,4 - European Union,9 - Not applicable,1 - Lowest price,09310000 - Electricity,SK01SK02,http://www.devinskanovaves.sk,Public procurement Directive 2014/24/EU,,48.1516988,17.1093063,345732-2021,09/07/2021,06/08/2021,3 - Contract notice,Mestská časť Bratislava - Devínska Nová Ves (00603392),495383-2021,01/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495344-2021,21-512886-001,42000000,Active,Slovakia,Nesvady,Industrial machinery,Slovakia-Nesvady: Industrial machinery,495344-2021,01/10/2021,191,NESVADY,StyleFest s.r.o. (47328037),SK,SK,8 - Other,-,28/09/2021,2 - Supplies,1 - Open procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,1 - Lowest price,42000000 - Industrial machinery,SK023,http://www.uvo.gov.sk/vyhladavanie-zakaziek/detail/dokumenty/433019,Public procurement Directive 2014/24/EU,,47.9285197,18.1285528,345490-2021,09/07/2021,06/09/2021,3 - Contract notice,StyleFest s.r.o. (47328037),400880-2021,06/08/2021,16/08/2021,2 - Additional information,StyleFest s.r.o. (47328037),416071-2021,16/08/2021,06/09/2021,2 - Additional information,StyleFest s.r.o. (47328037),495344-2021,01/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495343-2021,21-512810-001,16000000,Active,Slovakia,Vígľaš,Agricultural machinery,Slovakia-Vígľaš: Agricultural machinery,495343-2021,01/10/2021,191,VÍGĽAŠ,"DEWEX, s.r.o. (47488701)",SK,SK,8 - Other,-,28/09/2021,2 - Supplies,1 - Open procedure,7 - Contract award notice,4 - European Union,9 - Not applicable,1 - Lowest price,16000000 - Agricultural machinery,SK032,http://www.dewex.sk/,Public procurement Directive 2014/24/EU,,48.5554096,19.2926266,411809-2021,13/08/2021,16/09/2021,3 - Contract notice,"DEWEX, s.r.o. (47488701)",495343-2021,01/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495342-2021,21-513248-001,34100000,Active,Slovakia,Bratislava,Motor vehicles,Slovakia-Bratislava: Motor vehicles,495342-2021,01/10/2021,191,BRATISLAVA,"Všeobecná zdravotná poisťovňa, a.s. (35937874)",SK,SK,6 - Body governed by public law,-,28/09/2021,2 - Supplies,1 - Open procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,1 - Lowest price,34100000 - Motor vehicles,SK,http://www.vszp.sk,Public procurement Directive 2014/24/EU,,48.1516988,17.1093063,284234-2021,07/06/2021,16/07/2021,3 - Contract notice,"Všeobecná zdravotná poisťovňa, a.s. (35937874)",332526-2021,02/07/2021,13/07/2021,2 - Additional information,"Všeobecná zdravotná poisťovňa, a.s. (35937874)",356428-2021,14/07/2021,16/07/2021,2 - Additional information,"Všeobecná zdravotná poisťovňa, a.s. (35937874)",495342-2021,01/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495315-2021,21-512523-001,33651600,Active,Slovakia,Bratislava,Vaccines,Slovakia-Bratislava: Vaccines,495315-2021,01/10/2021,191,BRATISLAVA,"Všeobecná zdravotná poisťovňa, a.s. (35937874)",SK,SK,6 - Body governed by public law,-,28/09/2021,2 - Supplies,1 - Open procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,1 - Lowest price,33651600 - Vaccines,SK,http://www.vszp.sk,Public procurement Directive 2014/24/EU,,48.1516988,17.1093063,437310-2021,30/08/2021,27/09/2021,3 - Contract notice,"Všeobecná zdravotná poisťovňa, a.s. (35937874)",495315-2021,01/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495314-2021,21-512394-001,30000000,Active,Slovakia,Bratislava,"Office and computing machinery, equipment and supplies except furniture and software packages","Slovakia-Bratislava: Office and computing machinery, equipment and supplies except furniture and software packages",495314-2021,01/10/2021,191,BRATISLAVA,Národné centrum zdravotníckych informácií (00165387),SK,SK,1 - Ministry or any other national or federal authority,-,28/09/2021,2 - Supplies,2 - Restricted procedure,7 - Contract award notice,4 - European Union,9 - Not applicable,1 - Lowest price,"30000000 - Office and computing machinery, equipment and supplies except furniture and software packages",SK,www.nczisk.sk,Public procurement Directive 2014/24/EU,,48.1516988,17.1093063,501756-2020,23/10/2020,23/11/2020,Y - Dynamic purchasing system,Národné centrum zdravotníckych informácií (00165387),111104-2021,05/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495313-2021,21-512177-001,42642500,Active,Slovakia,Bratislava,Machine tools for working hard plastics,Slovakia-Bratislava: Machine tools for working hard plastics,495313-2021,01/10/2021,191,BRATISLAVA,"ALLMEDIA, spol. s r.o. (00681270)",SK,SK,8 - Other,-,27/09/2021,2 - Supplies,1 - Open procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,1 - Lowest price,42514300 - Filtering apparatus42642500 - Machine tools for working hard plastics,SKSK022,http://www.allmedia.sk,Public procurement Directive 2014/24/EU,,48.1516988,17.1093063,305812-2020,01/07/2020,05/08/2020,3 - Contract notice,"Allmedia, spol. s r.o. (00681270)",495313-2021,01/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495312-2021,21-509746-001,33630000,Active,Slovakia,Žilina,Medicinal products for dermatology and the musculo-skeletal system,Slovakia-Žilina: Medicinal products for dermatology and the musculo-skeletal system,495312-2021,01/10/2021,191,ŽILINA,Fakultná nemocnica s poliklinikou Žilina (17335825),SK,SK,6 - Body governed by public law,-,27/09/2021,2 - Supplies,1 - Open procedure,7 - Contract award notice,4 - European Union,9 - Not applicable,1 - Lowest price,33630000 - Medicinal products for dermatology and the musculo-skeletal system,SK031,http://www.fnspza.sk,Public procurement Directive 2014/24/EU,,49.2234674,18.7393139,305118-2021,18/06/2021,19/07/2021,3 - Contract notice,Fakultná nemocnica s poliklinikou Žilina (17335825),495312-2021,01/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495304-2021,21-511531-001,33100000,Active,Slovakia,Trenčín,Medical equipments,Slovakia-Trenčín: Medical equipments,495304-2021,01/10/2021,191,TRENČÍN,Fakultná nemocnica Trenčín (00610470),SK,SK,6 - Body governed by public law,-,27/09/2021,2 - Supplies,1 - Open procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,1 - Lowest price,50400000 - Repair and maintenance services of medical and precision equipment60000000 - Transport services (excl. Waste transport)51110000 - Installation services of electrical equipment33100000 - Medical equipments33124200 - Radiodiagnostic devices,SK022,http://www.fntn.sk/,Public procurement Directive 2014/24/EU,,48.8923583,18.0393715,66276-2021,09/02/2021,28/05/2021,3 - Contract notice,Fakultná nemocnica Trenčín (00610470),120556-2021,10/03/2021,12/04/2021,2 - Additional information,Fakultná nemocnica Trenčín (00610470),175462-2021,09/04/2021,07/05/2021,2 - Additional information,Fakultná nemocnica Trenčín (00610470),229193-2021,07/05/2021,28/05/2021,2 - Additional information,Fakultná nemocnica Trenčín (00610470),495304-2021,01/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495293-2021,21-511321-001,34300000,Active,Slovakia,Bratislava,Parts and accessories for vehicles and their engines,Slovakia-Bratislava: Parts and accessories for vehicles and their engines,495293-2021,01/10/2021,191,BRATISLAVA,Ministerstvo obrany Slovenskej republiky – Úrad pre investície a akvizície (30845572),SK,SK,1 - Ministry or any other national or federal authority,-,27/09/2021,2 - Supplies,1 - Open procedure,7 - Contract award notice,4 - European Union,9 - Not applicable,1 - Lowest price,"34320000 - Mechanical spare parts except engines and engine parts34321100 - Axles42913300 - Oil filters42913500 - Air-intake filters34325000 - Silencers and exhaust pipes34326100 - Clutches and associated parts34324000 - Wheels, parts and accessories34224100 - Parts of trailers and semi-trailers34322000 - Brakes and brake parts34300000 - Parts and accessories for vehicles and their engines34310000 - Engines and engine parts",SKSK0,www.mosr.sk,Public procurement Directive 2014/24/EU,,48.1516988,17.1093063,291781-2021,11/06/2021,13/07/2021,3 - Contract notice,Ministerstvo obrany Slovenskej republiky – Úrad pre investície a akvizície (30845572),495293-2021,01/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495292-2021,21-511110-001,33100000,Active,Slovakia,Lehnice,Medical equipments,Slovakia-Lehnice: Medical equipments,495292-2021,01/10/2021,191,LEHNICE,Obec Lehnice (00305553),SK,SK,R - Regional or local Agency/Office,-,27/09/2021,2 - Supplies,1 - Open procedure,7 - Contract award notice,4 - European Union,9 - Not applicable,1 - Lowest price,38434000 - Analysers38434210 - Sonometers33164100 - Colposcope33194120 - Infusion supplies33194100 - Devices and instruments for infusion33121500 - Electrocardiogram33182100 - Defibrillator33192210 - Examination tables33190000 - Miscellaneous medical devices and products33191100 - Steriliser33192200 - Medical tables31520000 - Lamps and light fittings33123230 - Cardiographs33123000 - Cardiovascular devices33123210 - Cardiac-monitoring devices33100000 - Medical equipments,SK021,https://www.obeclehnice.sk/,Public procurement Directive 2014/24/EU,,48.0515285,17.4576393,221790-2021,04/05/2021,31/05/2021,3 - Contract notice,Obec Lehnice (00305553),267714-2021,28/05/2021,31/05/2021,2 - Additional information,Obec Lehnice (00305553),284275-2021,07/06/2021,07/07/2021,3 - Contract notice,Obec Lehnice (00305553),463561-2021,14/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495291-2021,21-509869-001,30213100,Active,Slovakia,Bratislava,Portable computers,Slovakia-Bratislava: Portable computers,495291-2021,01/10/2021,191,BRATISLAVA,Centrum vedecko-technických informácií SR (00151882),SK,SK,6 - Body governed by public law,-,27/09/2021,2 - Supplies,2 - Restricted procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,1 - Lowest price,30213100 - Portable computers30213200 - Tablet computer,SK01,www.cvtisr.sk,Public procurement Directive 2014/24/EU,,48.1516988,17.1093063,221654-2019,14/05/2019,17/06/2019,Y - Dynamic purchasing system,Centrum vedecko-technických informácií SR (00151882),231972-2019,20/05/2019,17/06/2019,2 - Additional information,Centrum vedecko-technických informácií SR (00151882),372421-2019,07/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495290-2021,21-511082-001,30200000,Active,Slovakia,Bratislava,Computer equipment and supplies,Slovakia-Bratislava: Computer equipment and supplies,495290-2021,01/10/2021,191,BRATISLAVA,Bratislavský samosprávny kraj (36063606),SK,SK,3 - Regional or local authority,-,27/09/2021,2 - Supplies,2 - Restricted procedure,7 - Contract award notice,4 - European Union,9 - Not applicable,1 - Lowest price,30200000 - Computer equipment and supplies,SK,https://www.bratislavskykraj.sk/,Public procurement Directive 2014/24/EU,,48.1516988,17.1093063,341427-2020,21/07/2020,21/08/2020,Y - Dynamic purchasing system,Bratislavský samosprávny kraj (36063606),41235-2021,27/01/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495289-2021,21-510568-001,48463000,Active,Slovakia,Bratislava,Statistical software package,Slovakia-Bratislava: Statistical software package,495289-2021,01/10/2021,191,BRATISLAVA,Centrum vedecko-technických informácií SR (00151882),SK,SK,6 - Body governed by public law,-,27/09/2021,2 - Supplies,1 - Open procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,1 - Lowest price,48463000 - Statistical software package,SK01,www.cvtisr.sk,Public procurement Directive 2014/24/EU,,48.1516988,17.1093063,291293-2021,11/06/2021,12/07/2021,3 - Contract notice,Centrum vedecko-technických informácií SR (00151882),495289-2021,01/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495288-2021,21-510325-001,3916200042,Active,Slovakia,Ružomberok,Educational equipment,Slovakia-Ružomberok: Educational equipment,495288-2021,01/10/2021,191,RUŽOMBEROK,Mesto Ružomberok (00315737),SK,SK,3 - Regional or local authority,-,27/09/2021,2 - Supplies,1 - Open procedure,7 - Contract award notice,4 - European Union,9 - Not applicable,1 - Lowest price,39100000 - Furniture39162000 - Educational equipment39162200 - Training aids and devices30214000 - Workstations,SK03SK031,https://www.ruzomberok.sk/,Public procurement Directive 2014/24/EU,,49.0815718,19.3034168,331199-2021,02/07/2021,28/07/2021,3 - Contract notice,Mesto Ružomberok (00315737),495288-2021,01/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494974-2021,21-510630-001,34110000,Active,Slovakia,Bratislava,Passenger cars,Slovakia-Bratislava: Passenger cars,494974-2021,01/10/2021,191,BRATISLAVA,Ministerstvo vnútra Slovenskej republiky (00151866),SK,SK,1 - Ministry or any other national or federal authority,-,27/09/2021,2 - Supplies,2 - Restricted procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,1 - Lowest price,34113300 - Off-road vehicles34110000 - Passenger cars,SK01,https://www.minv.sk/,Public procurement Directive 2014/24/EU,,48.1516988,17.1093063,516267-2020,30/10/2020,30/11/2020,Y - Dynamic purchasing system,Ministerstvo vnútra Slovenskej republiky (00151866),457231-2021,10/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494649-2021,21-514842-001,16000000,Active,Slovakia,Vígľaš,Agricultural machinery,Slovakia-Vígľaš: Agricultural machinery,494649-2021,01/10/2021,191,VÍGĽAŠ,"DEWEX, s.r.o. (47488701)",SK,SK,8 - Other,-,28/09/2021,2 - Supplies,1 - Open procedure,3 - Contract notice,4 - European Union,1 - Submission for all lots,1 - Lowest price,16000000 - Agricultural machinery,SK032,http://www.dewex.sk/,Public procurement Directive 2014/24/EU,03/11/2021,48.5554096,19.2926266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494606-2021,21-514304-001,09310000,Active,Slovakia,Bratislava,Electricity,Slovakia-Bratislava: Electricity,494606-2021,01/10/2021,191,BRATISLAVA,"Národná diaľničná spoločnosť, a.s. (35919001)",SK,SK,6 - Body governed by public law,-,28/09/2021,2 - Supplies,1 - Open procedure,3 - Contract notice,"5 - European Union, with participation of GPA countries",1 - Submission for all lots,1 - Lowest price,09310000 - Electricity,SK,http://www.ndsas.sk,Public procurement Directive 2014/24/EU,29/10/2021,48.1516988,17.1093063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494605-2021,21-509436-001,44191300,Active,Slovakia,Piešťany,Particle board,Slovakia-Piešťany: Particle board,494605-2021,01/10/2021,191,PIEŠŤANY,Centrum účelových zariadení (42137004),SK,SK,6 - Body governed by public law,-,27/09/2021,2 - Supplies,1 - Open procedure,3 - Contract notice,4 - European Union,1 - Submission for all lots,1 - Lowest price,"44191300 - Particle board44191400 - Fibreboard44520000 - Locks, keys and hinges",SK021,http://www.uvo.gov.sk,Public procurement Directive 2014/24/EU,02/11/2021,48.5895247,17.8213848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494603-2021,21-513666-001,15500000,Active,Slovakia,Želiezovce,Dairy products,Slovakia-Želiezovce: Dairy products,494603-2021,01/10/2021,191,ŽELIEZOVCE,Ústav na výkon trestu odňatia slobody (00738298),SK,SK,1 - Ministry or any other national or federal authority,-,28/09/2021,2 - Supplies,1 - Open procedure,3 - Contract notice,"5 - European Union, with participation of GPA countries",1 - Submission for all lots,1 - Lowest price,15511000 - Milk15500000 - Dairy products,SK,www.zvjs.sk,Public procurement Directive 2014/24/EU,08/11/2021,48.0492258,18.6583548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494601-2021,21-513899-001,34144000,Active,Slovakia,Liptovský Mikuláš,Special-purpose motor vehicles,Slovakia-Liptovský Mikuláš: Special-purpose motor vehicles,494601-2021,01/10/2021,191,LIPTOVSKÝ MIKULÁŠ,Mesto Liptovský Mikuláš (00315524),SK,SK,3 - Regional or local authority,-,28/09/2021,2 - Supplies,1 - Open procedure,3 - Contract notice,4 - European Union,1 - Submission for all lots,2 - The most economic tender,34144000 - Special-purpose motor vehicles,SK031,https://www.mikulas.sk/,Public procurement Directive 2014/24/EU,29/10/2021,49.0832482,19.6164972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494473-2021,21-513612-001,48218000,Active,Slovakia,Banská Bystrica,License management software package,Slovakia-Banská Bystrica: License management software package,494473-2021,01/10/2021,191,BANSKÁ BYSTRICA,Banskobystrický samosprávny kraj (37828100),SK,SK,R - Regional or local Agency/Office,-,28/09/2021,2 - Supplies,1 - Open procedure,3 - Contract notice,"5 - European Union, with participation of GPA countries",1 - Submission for all lots,1 - Lowest price,48218000 - License management software package,SK032,http://bbsk.sk,Public procurement Directive 2014/24/EU,03/11/2021,48.7384028,19.1573494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494472-2021,21-512652-001,33141200,Active,Slovakia,Bratislava,Catheters,Slovakia-Bratislava: Catheters,494472-2021,01/10/2021,191,BRATISLAVA,"Národný ústav srdcových a cievnych chorôb, a.s. (35971126)",SK,SK,6 - Body governed by public law,-,28/09/2021,2 - Supplies,1 - Open procedure,3 - Contract notice,"5 - European Union, with participation of GPA countries",1 - Submission for all lots,1 - Lowest price,33141240 - Catheter accessories33141210 - Balloon catheters33141200 - Catheters,SK01,http://www.nusch.sk,Public procurement Directive 2014/24/EU,04/11/2021,48.1516988,17.1093063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494456-2021,21-510567-001,42600000,Active,Slovakia,Matejovce nad Hornádom,Machine tools,Slovakia-Matejovce nad Hornádom: Machine tools,494456-2021,01/10/2021,191,MATEJOVCE NAD HORNÁDOM,"MIGI, spol. s r.o. (36187232)",SK,SK,8 - Other,-,27/09/2021,2 - Supplies,1 - Open procedure,3 - Contract notice,4 - European Union,1 - Submission for all lots,1 - Lowest price,42600000 - Machine tools,SK042,www.migispol.sk,Public procurement Directive 2014/24/EU,28/10/2021,48.907938,20.676643109918707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
